MARROT, J
VOLODIN, VA
GUCZI, L
TSUNOYAMA, H
ARMENTROUT, PB
CHEN4, ZF
LI6, YF
CHEN23, H
CUI2, XB
SCHWEIKHARD, L
RAINERI, V
MOURA, I
KRAUSEREHBERG, R
XUE3, QK
NIU, JY
SCHWERDTFEGER, P
TANG, ZC
PENNYCOOK, SJ
FORTUNELLI, A
ZHAO4, JW
MOSKOVITS, M
WEIS3, P
BINNS, C
MESTDAGH, JM
PHILIPPOT, K
ADAMS3, MWW
OZKAR, S
OZIN, GA
AVASTHI, DK
DESFRANCOIS, C
JORTNER, J
LEE5, GH
GUBIN, SP
NORDLUND, K
MATOLIN, V
ILLENBERGER, E
WANG1, CZ
HENRY2, CR
CORDIER, S
LONGONI, G
SIRONI, A
GOLBECK, JH
GIANTURCO, FA
FIERRO, JLG
LEE3, ST
HO2, KM
SUMIYAMA, K
SUZUKI3, R
SCHRODER2, D
HAGEN5, WR
VEGA2, A
ICHIKAWA4, M
NISHI1, N
BERTINI, I
SOKOLOV, MN
YAMAGUCHI6, K
TAY, BK
JOHNSON2, MK
VANDUIN, ACT
AKITA2, T
BRUNE1, H
SACHTLER, WMH
ANSON, CE
SCHNOCKEL, H
BONDYBEY, VE
HOU1, HW
MILLER1, JT
RODRIGUEZ4, JA
PIREAUX, JJ
FAUPEL, F
ANPO, M
REHR, JJ
SCHATZ6, GC
HUISKEN, F
GAO4, HJ
DEJONGH1, LJ
TUNIK, SP
PERLEPES, SP
BOSCHERINI, F
QIAN5, YT
LEE7, HM
SOMORJAI3, GA
HAN6, M
IGLESIA, E
PAKKANEN, TA
GUDEL, HU
THOMAS4, JM
MOURA, JJG
LEUTWYLER, S
KAYA, K
VAJDA, S
TOYODA2, N
MIKAMI, N
SAILLARD, JY
